id,logo,trading_name,user_rating,account_currencies,broker_type_id,support_options,account_type,trading_instruments,language,default_language
148,ACY_Securities-logo.png,"ACY Securities",0.00,"AUD, EUR, GBP, JPY, HKD, TWD, SGD, CNY, CAD, INR, CHF, AED, MYR, PHP, IDR, TBH, VND, Cryptos",1,"Email, Phone, Live Chat, Skype, Messanger, WhatsApp, Call Back Request, Telegram, Toll Free Call","Standard, ProZero, Bespoke","Forex, Metals, Commodities, Indices, Shares, ETFs, Cryptocurrencies",en,en
149,CFI_Financial-logo.png,"CFI Financial",0.00,"USD, EUR, GBP, Others",1,"Email, Phone, Live Chat","Zero Commission, Dynamic Trader","Forex, Metals, Commodities, Indices, Equities, ETFs, Cryptos",en,en
150,Binance-logo.png,Binance,0.00,"EUR, GBP, AUD, TRY, USD, KZT, BRL, HKD, PEN, RUB, UAH, UGX, PHP, PLN, RON, CHF, CNY, CAD, DKK, HUF, INR, IDL, ILS, JPY, NZD, NGN, PEN, SEK, SAR, TWD, THB, VND, VES, ZAR, BTC, ETH, USDT, BNB, EOS",2,"Email, Phone, Live Chat","Individual, Corporate","Spot Crytocurrencies, Futures Cryptocurrencies, Vanilla Options Cryptocurrencies, Leveraged Tokens",en,en
152,MEX_Exchange-logo.png,"MEX Exchange",0.00,"AUD, EUR, USD, GBP",1,"Email, Phone, Live Chat","Classic, ECN","Forex, Metals, Commodities, Indices",en,en
153,Squared_Financial-logo.png,"Squared Financial",0.00,"EUR, USD, GBP, CHF, ZAR",1,"Email, Phone, Live Chat, WhatsApp, anydest, Zoom","SquaredPro, SquaredElite","Forex, Metals, Energies, Indices, Stocks, Futures, Cryptocurrencies",en,en
154,BlackBull-Markets-logo.png,"BlackBull Markets",0.00,"USD, GBP, EUR, AUD, NZD, SGD, JPY, CAD, CHF",1,"Email, Phone, Live Chat","Standard, Prime","Forex, Metals, Commodities, Futures, Indices, Equities, Cryptos",en,en
155,Blueberry_Markets-logo.png,"Blueberry Markets",0.00,"USD, EUR, CAD, SGD, NZD, GBP, AUD",1,,,,en,en
156,Key_To_Markets-logo.png,"Key To Markets",0.00,"EUR, USD, GBP",1,"Email, Phone, Skype, Messanger, WhatsApp, Call Back Request","Standard, Pro","Forex, Metals, Commodities, Indices, Shares, Cryptocurrencies",en,en
157,FreshForex.jpg,FreshForex,0.00,"EUR, USD, BTC",1,"Email, Phone, Live Chat, Call Back Request, Telegram","Cent, Classic, Market Pro, ECN","Forex, Metals, Commodities, Indices, Stocks, Cryptocurrencies",en,en
158,4XC-logo.png,4XC,0.00,"USD, EUR, GBP, BRL",1,"Email, Phone, Live Chat, Call Back Request","Standard, Pro, VIP","Forex, Metals, Commodities, Indices, Crypto",en,en
159,Skilling-logo.png,Skilling,0.00,"USD, EUR, GBP, NOK, SEK",1,"Email, Phone, Live Chat, Messenger, WhatsApp, Telegram","Standard, Premium","Forex, Metals, Commodities, Indices, Shares, Cryptos",en,en
160,fxview-logo.png,Fxview,0.00,"USD, EUR, GBP, AUD, ZAR",1,"Email, Phone, Live Chat","Raw ECN","Forex, Metals, Commodities, Indices, Stocks, Cryptocurrencies",en,en
161,PUPRIME-logo.png,"PU Prime",0.00,"USD, GBP, CAD, AUD, EUR, SGD, NZD, HKD, JPY",1,"Email, Phone, Live Chat, Skype","Standard, Prime, ECN, Pro, Cent, Islamic Standard, Islamic Prime","Forex, Metals, Commodities, Indices, Shares, Cryptos",en,en
162,Equiti-logo.png,Equiti,0.00,"EUR, USD, GBP",1,"Email, Phone, Live Chat, Messenger, WhatsApp, Call back Request","Executive, Executive Swap Free, Premiere, Standard, Standard Swap Free, Advanced, Advanced Swap Free, Elite, Elite Swap Free, Pro, Pro Swap Free, ProPlus, ProPlus Swap Free, Equiti, Equiti Swap Free","Forex, Metals, Commodities, Indices, Shares, Futures, ETFs, Cryptocurrencies",en,en
163,GTC-logo.png,GTC,0.00,USD,1,"Email, Phone, Live Chat, WhatsApp","Cent, Standard, ECN","Forex, Metals, Commodities, Indices, Stocks, Cryptos",en,en
164,Intertrader-logo.jpg,Intertrader,0.00,"EUR, USD, GBP",1,"Email, Phone, Call Back Request","Individual, Corporate, Individual Spread Betting, Corporate Spread Betting","Forex, Metals, Commodities, Indices, Shares, Bonds",en,en
165,ICM-logo.jpg,ICM.com,0.00,"USD, GBP, EUR, JPY, CHF, others",1,"E-mail, Phone, Live Chat, WhatsApp, Social Channels, Call Back Request ","ICM Zero, ICM Direct, ICM Securities","Spot FX CFDs, Cash CFDs, Futures CFDs, Commodities, Soft Commodities, US Stocks CFDs, Global Equities, Crypto CFDs",en,en
166,Ingot-Brokers-logo.png,"Ingot Brokers",0.00,"USD, EUR, GBP, AUD",1,"Email, Phone, Live Chat, Call Back Request","Professional, ECN, Prime","Spot Currencies, Spot Metals, Spot Energies, Spot Indices, EU Stocks, US Stocks, UK Stocks, ETFs, Futures, Cryptocurrencies",en,en
167,gmi-markets-logo.png,"GMI Markets",0.00,USD,1,"Email, Live Chat","Cent, Standard, ECN","Forex, Metals, Commodities, Energies, Indices, Futures",en,en
