id,name,slug,applicable_for,data_type,form_type,is_public,tooltip,metadata,for_crypto,for_brokers,for_props,required,position,default_language,option_category_id,dropdown_category_id,placeholder,created_at,updated_at
61,Order Types,order_types,account_type,string,multiple_select,1,NULL,NULL,0,0,1,0,1,en,6,NULL,,NULL,NULL
62,Maximum Leverage,max_leverage,account_type,string,string,1,NULL,NULL,1,1,1,1,1,en,6,NULL,,NULL,NULL
63,Minimum Deposit,min_deposit,account_type,int,numberWithUnit,1,NULL,NULL,1,1,0,0,1,en,6,NULL,,NULL,NULL
64,Minimum Trade Size,min_trade_size,account_type,numeric,numberWithUnit,1,NULL,NULL,1,1,1,0,1,en,6,NULL,,NULL,NULL
65,Stop Out Level,stop_out_level,account_type,numeric,numberWithUnit,1,NULL,NULL,1,1,0,0,1,en,6,NULL,,NULL,NULL
66,Minimum Challenge Fee,min_challenge_fee,account_type,numeric,numberWithUnit,1,NULL,NULL,0,0,1,0,1,en,6,NULL,,NULL,NULL
67,Minimum Profit Split,min_profit_split,account_type,numeric,numberWithUnit,1,NULL,NULL,0,0,1,0,1,en,6,NULL,,NULL,NULL
68,Trailing stops,trailing_stops,account_type,boolean,checkbox,1,NULL,NULL,1,1,1,0,1,en,6,NULL,,NULL,NULL
69,Scalping,scalping,account_type,boolean,checkbox,1,NULL,NULL,1,1,1,0,1,en,6,NULL,,NULL,NULL
70,Hedging,hedging,account_type,boolean,checkbox,1,NULL,NULL,1,1,1,0,1,en,6,NULL,,NULL,NULL
71,News Trading,news_trading,account_type,boolean,checkbox,1,NULL,NULL,1,1,1,0,1,en,6,NULL,,NULL,NULL
72,Cent Accounts,cent_accounts,account_type,boolean,checkbox,1,NULL,NULL,1,1,1,0,1,en,6,NULL,,NULL,NULL
73,Islamic Accounts,islamic_accounts,account_type,boolean,checkbox,1,NULL,NULL,1,1,1,0,1,en,6,NULL,,NULL,NULL
74,Company Name,company_name,company,string,notes,1,NULL,NULL,1,1,1,1,1,en,3,NULL,,NULL,NULL
75,Short Description,company_description,company,text,textarea,1,NULL,NULL,1,1,1,0,1,en,3,NULL,,NULL,NULL
76,Categories,company_categories,company,string,multiple_select,1,NULL,NULL,1,1,1,1,1,en,3,NULL,,NULL,NULL
